isolate	Lineage	Metadata
1-0091	East-Asian	Info
1-0092	East-Asian	Info
1-0093	East-Asian	Info
1-0097	East-African-Indian	Info
1-0101	East-Asian	Info
1-0102	East-Asian	Info
1-0103	East-African-Indian	Info
1-0106	East-Asian	Info
1-0107	East-African-Indian	Info
1-0108	East-Asian	Info
1-0109	East-Asian	Info
1-0110	East-Asian	Info
1-0111	East-Asian	Info
1-0112	East-Asian	Info
1-0113	East-Asian	Info
1-0114	East-Asian	Info
1-0115	East-Asian	Info
1-0116	East-Asian	Info
1-0123	East-Asian	Info
1-0124	Euro-American	Info
1-0125	East-Asian	Info
1-0127	East-Asian	Info
1-0132	East-Asian	Info
1-0133	East-African-Indian	Info
1-0135	East-Asian	Info
1-0137	East-Asian	Info
1-0138	East-Asian	Info
1-0142	Euro-American	Info
1-0143	East-Asian	Info
1-0144	Euro-American	Info
1-0146	East-Asian	Info
1-0148	East-African-Indian	Info
1-0149	East-Asian	Info
1-0150	East-Asian	Info
1-0153	East-Asian	Info
1-0154	East-African-Indian	Info
1-0156	Euro-American	Info
1-0158	East-Asian	Info
1-0160	East-African-Indian	Info
1-0163	East-Asian	Info
1-0164	East-Asian	Info
1-0165	Euro-American	Info
1-0166	Euro-American	Info
1-0168	Euro-American	Info
1-0169	East-Asian	Info
1-0170	East-Asian	Info
1-0171	East-African-Indian	Info
1-0172	East-African-Indian	Info
1-0173	East-African-Indian	Info
1-0174	East-African-Indian	Info
1-0175	East-African-Indian	Info
2-0022	Euro-American	Info
2-0023	Euro-American	Info
2-0024	East-Asian	Info
2-0025	East-Asian	Info
2-0026	Euro-American	Info
2-0027	Euro-American	Info
2-0028	Euro-American	Info
2-0029	Euro-American	Info
2-0030	East-Asian	Info
2-0031	East-Asian	Info
2-0032	East-Asian	Info
2-0033	Euro-American	Info
2-0034	East-Asian	Info
2-0035	Euro-American	Info
2-0037	East-Asian	Info
2-0038	East-Asian	Info
2-0039	Euro-American	Info
2-0040	East-Asian	Info
2-0041	East-Asian	Info
2-0042	East-Asian	Info
2-0043	Euro-American	Info
2-0044	Euro-American	Info
2-0045	Euro-American	Info
2-0046	Euro-American	Info
2-0047	East-Asian	Info
2-0048	East-Asian	Info
2-0049	Euro-American	Info
2-0050	East-Asian	Info
2-0051	East-Asian	Info
2-0052	East-Asian	Info
2-0053	Euro-American	Info
2-0057	East-Asian	Info
2-0058	Euro-American	Info
2-0059	Euro-American	Info
2-0061	East-Asian	Info
2-0062	Euro-American	Info
2-0063	Euro-American	Info
2-0065	East-Asian	Info
2-0066	East-Asian	Info
2-0067	Euro-American	Info
2-0068	East-Asian	Info
2-0069	Euro-American	Info
2-0071	Euro-American	Info
2-0072	East-Asian	Info
2-0073	Euro-American	Info
2-0074	Euro-American	Info
2-0075	Euro-American	Info
2-0076	Euro-American	Info
2-0077	East-Asian	Info
2-0079	Euro-American	Info
2-0080	Euro-American	Info
2-0081	Euro-American	Info
2-0082	Euro-American	Info
2-0083	Euro-American	Info
2-0084	Euro-American	Info
2-0086	East-Asian	Info
2-0089	Euro-American	Info
2-0091	East-Asian	Info
2-0092	Euro-American	Info
2-0093	East-Asian	Info
2-0096	East-Asian	Info
2-0099	Euro-American	Info
2-0100	Euro-American	Info
2-0101	East-Asian	Info
2-0102	East-Asian	Info
2-0103	East-Asian	Info
2-0104	Euro-American	Info
2-0105	Euro-American	Info
2-0106	Euro-American	Info
2-0107	Euro-American	Info
2-0108	Euro-American	Info
2-0109	Euro-American	Info
2-0111	Euro-American	Info
2-0112	Euro-American	Info
3-0081	Euro-American	Info
3-0082	Indo-Oceanic	Info
3-0083	East-Asian	Info
3-0084	Indo-Oceanic	Info
3-0085	Euro-American	Info
3-0086	Indo-Oceanic	Info
3-0087	Indo-Oceanic	Info
3-0088	Indo-Oceanic	Info
3-0089	Indo-Oceanic	Info
3-0090	Indo-Oceanic	Info
3-0091	Indo-Oceanic	Info
3-0092	Indo-Oceanic	Info
3-0093	Indo-Oceanic	Info
3-0094	Indo-Oceanic	Info
3-0095	Indo-Oceanic	Info
3-0096	Indo-Oceanic	Info
3-0097	Indo-Oceanic	Info
3-0098	Indo-Oceanic	Info
4-0074	East-Asian	Info
4-0075	East-Asian	Info
4-0077	East-Asian	Info
4-0078	East-Asian	Info
4-0079	East-Asian	Info
4-0080	East-Asian	Info
4-0081	East-Asian	Info
4-0082	East-Asian	Info
4-0083	Euro-American	Info
4-0084	East-Asian	Info
4-0085	Euro-American	Info
4-0086	Euro-American	Info
4-0087	Euro-American	Info
4-0088	Euro-American	Info
4-0089	East-Asian	Info
4-0090	Euro-American	Info
4-0091	Euro-American	Info
4-0092	East-Asian	Info
4-0093	Euro-American	Info
4-0094	East-Asian	Info
4-0095	East-Asian	Info
4-0096	East-Asian	Info
4-0097	East-Asian	Info
4-0098	East-Asian	Info
4-0099	East-Asian	Info
4-0100	East-Asian	Info
4-0101	East-Asian	Info
4-0102	East-Asian	Info
4-0103	East-Asian	Info
4-0104	East-Asian	Info
4-0105	East-Asian	Info
4-0106	East-Asian	Info
